,,,,,,,,,,,,,,,
Übergruppe,Parameter ,Erklärung ,Einheit,Default,Minimum Value,Maximum Value,Quelle min ,Quelle max,NameRLPJ,,Übergruppe,Parameter ,Erklärung ,Minimum Value,Maximum Value
Wachstum,k_allom2,height =kallom2* diameter ^{kallom3},einheitenlos,siehe allgemein,,,,,,,,,,,
Establishment,parff_min,Min forest floor PAR for grass growth/tree estab ,J/m2/day,1000000,750000,1600000,,,shade_tolerant_parff_min,,,,,,
Wachstum,k_chillb,Coefficient in equation for budburst chilling time requirement,einheitenlos,100,80,800,,,Pic_abi_k_chillb,,,,,,
Bioclimatic Limit ,gdd5min_est ,Min GDD on 5 deg C base for establishment,(deg C) Days,350,300,700,,,Pic_abi_gdd5min_est,,,,,,
Bioclimatic Limit ,tcmin_est,Min 20-year coldest month mean temp for establishment ,(deg C),-29,-100,-15,,,Pic_abi_tcmin_est,,,,,,
Bioclimatic Limit ,tcmax_est,Max 20-year coldest month mean temp for establishment,(deg C),3,-2,6,,,Pic_abi_tcmax_est,,,,,,
Fagus sylvatica ,,,,,,,,,,,,,,,
Mortality,longetivity,Expected longevity under lifetime non-stressed conditions (yr),years,400,250,650,,,Fag_syl_longetivity ,,,,,,
Konkurrenz,leaflong,Leaf longevity ,years,"0,5","0,4","0,8",,,broad_leaved_leaflong,,,,,,
Störung,fireresist,fire resistance,einheitenlos,"0,1","0,05","0,8",,,Fag_syl_fireresist,,,,,,
Water,gmin,minimum canopy conductance not assoc with photosynthesis,mm/s,"0,5","0,42","0,58",,,Fag_syl_gmin,,,,,,
Konkurrenz,sla,Specific leaf area ,m^2/kgC,"43,08","28,33","48,23","Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance. 28, 263-280.","Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258.",Fag_syl_sla,,,,,,
Establishment,est_max,Max sapling establishment rate ,(indiv/m2/year),"0,2","0,05","0,25",,,Fag_syl_est_max,,,,,,
Wachstum,turnover_sap,sapwood turnover rate,fraction/year,"0,085","0,05","0,1",,,Fag_syl_turnover_sap,,,,,,
Establishment,alphar,Shape parameter for recruitment-juv growth rate relationship,einheitenlos,"2,0","0,8",5,,,shade_tolerant_alphar,,,,,,
Water,respcoeff,Respiration coefficient,einheitenlos,"1,0","0,5","1,5",,,temperate_tree_respcoeff,,,,,,
Photosynthesis,pstemp_low,Approx lower range of temp optimum for photosynthesis ,(deg C),15,8,20,,,temperate_tree_pstemp_low,,,,,,
Photosynthesis,pstemp_high,Approx higher range of temp optimum for photosynthesis (deg C),(deg C),25,20,30,,,temperate_tree_pstemp_high,,,,,,
Mortality,greff_min,Threshold for growth suppression mortality ,kgC/m2 leaf/yr,"0,02","0,001","0,13",,(Pappas),Fag_syl_greff_min,,,,,,
Wachstum,k_latosa,Tree leaf to sapwood xs area ratio,einheitenlos,5000,2500,8000,,,broad_leaved_k_latosa,,,,,,
Störung ,cutinterval,Time until trees are cut,years,105,80,140,,,MixedC_cutinterval,,,,,,
Störung ,thinning_intensity,percentage of treshold crowncoverage that is kept after thinning,einheitenlos,"0,9","0,55",1,,,vali_stand_thinning_intensity,,,,,,
Water ,drought_tolerance ,"(0 = very -> 1 = not at all, Used to implement drought-limited establishment plus wauptake if wateruptake == SPECIESSPECIFIC)",einheitenlos,"0,39","0,2","0,49",,,Fag_syl_drought_tolerance,,,,,,
Wachstum,k_allom2,height =kallom2* diameter ^{kallom3},einheitenlos,siehe allgemein,,,,,,,,,,,
Establishment,parff_min,Min forest floor PAR for grass growth/tree estab ,J/m2/day,1000000,100000,1600000,,,shade_tolerant_parff_min,,,,,,
Wachstum,k_chillb,Coefficient in equation for budburst chilling time requirement,einheitenlos,600,250,800,,,Fag_syl_k_chillb,,,,,,
Bioclimatic Limit ,gdd5min_est ,Min GDD on 5 deg C base for establishment,(deg C) Days,1300,1050,1450,,,Fag_syl_gdd5min_est,,,,,,
Bioclimatic Limit ,tcmin_est,Min 20-year coldest month mean temp for establishment ,(deg C),-6.5 ,-8,-5,,,Fag_syl_tcmin_est,,,,,,
Bioclimatic Limit ,tcmax_est,Max 20-year coldest month mean temp for establishment,(deg C),7,5,8,,,Fag_syl_tcmax_est,,,,,,
